ТИК;УИК;Число избирателей, внесенных в список;Число бюллетеней, полученных УИК;Число бюллетеней, выданных в помещении для голосования;Число бюллетеней, выданных вне помещения для голосования;Число погашенных бюллетеней;Число бюллетеней, содержащихся в переносных ящиках;Число бюллетеней, содержащихся в стационарных ящиках;Число недействительных бюллетеней;Число действительных бюллетеней;Число открепительных удостоверений, полученных УИК;Число открепительных удостоверений, выданных УИК до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных ТИК избирателям;Число утраченных открепительных удостоверений;Число утраченных бюллетеней;Число бюллетеней, не учтенных при получении;ТИК;УИК
район Ново-Переделкино;2692;1901;1500;580;2;918;2;579;11;570;0;0;0;0;1;0;0;0;район Ново-Переделкино;2692
район Ново-Переделкино;2693;2251;1800;575;6;1219;6;574;10;570;0;0;0;0;0;0;0;0;район Ново-Переделкино;2693
район Ново-Переделкино;2694;2261;1800;614;20;1166;20;614;7;627;0;0;2;0;1;0;0;0;район Ново-Переделкино;2694
район Ново-Переделкино;2695;2365;1900;776;14;1110;14;775;21;768;0;0;1;0;1;0;0;0;район Ново-Переделкино;2695
район Ново-Переделкино;2696;2027;1600;657;28;915;28;655;11;672;0;0;0;0;1;0;0;0;район Ново-Переделкино;2696
район Ново-Переделкино;2697;2132;1700;581;15;1104;15;578;9;584;0;0;0;0;2;0;0;0;район Ново-Переделкино;2697
район Ново-Переделкино;2698;1970;1600;573;7;1020;7;573;6;574;0;0;0;0;0;0;0;0;район Ново-Переделкино;2698
район Ново-Переделкино;2699;1939;1600;640;7;953;7;639;11;635;0;0;0;0;0;0;0;0;район Ново-Переделкино;2699
район Ново-Переделкино;2700;1326;1000;442;2;556;2;442;3;441;0;0;0;0;0;0;0;0;район Ново-Переделкино;2700
район Ново-Переделкино;2701;1653;1300;401;72;827;72;401;7;466;0;0;0;0;0;0;0;0;район Ново-Переделкино;2701
район Ново-Переделкино;2702;2232;1800;633;18;1149;18;633;11;640;1;1;0;0;0;0;0;0;район Ново-Переделкино;2702
район Ново-Переделкино;3759;37;50;31;3;16;3;31;0;34;0;0;0;0;0;0;0;0;район Ново-Переделкино;3759
район Очаково-Матвеевское;2703;795;750;287;213;250;213;287;17;483;0;0;1;0;0;0;0;0;район Очаково-Матвеевское;2703
район Очаково-Матвеевское;2704;2830;2550;799;36;1715;36;799;12;823;0;0;5;0;4;0;0;0;район Очаково-Матвеевское;2704
район Очаково-Матвеевское;2705;2101;1850;627;24;1199;24;625;7;642;0;0;3;0;0;0;0;0;район Очаково-Матвеевское;2705
район Очаково-Матвеевское;2706;2145;1900;567;32;1301;32;566;5;593;0;0;0;0;2;0;0;0;район Очаково-Матвеевское;2706
район Очаково-Матвеевское;2707;2491;2250;606;34;1610;34;605;15;624;0;0;2;0;1;0;0;0;район Очаково-Матвеевское;2707
район Очаково-Матвеевское;2708;2165;1950;737;40;1173;40;737;5;772;0;0;4;0;3;0;0;0;район Очаково-Матвеевское;2708
район Очаково-Матвеевское;2709;2221;2000;670;33;1297;33;669;7;695;0;0;0;0;3;0;0;0;район Очаково-Матвеевское;2709
район Очаково-Матвеевское;2710;2396;2150;722;29;1399;29;721;4;746;0;0;0;0;1;0;0;0;район Очаково-Матвеевское;2710
район Очаково-Матвеевское;2711;2173;1950;685;34;1231;34;685;4;715;0;0;5;0;3;0;0;0;район Очаково-Матвеевское;2711
район Очаково-Матвеевское;2712;2077;1850;723;35;1092;35;723;7;751;0;0;1;0;0;0;0;0;район Очаково-Матвеевское;2712
район Очаково-Матвеевское;2713;2643;2400;838;39;1523;39;838;8;869;0;0;1;0;2;0;0;0;район Очаково-Матвеевское;2713
район Очаково-Матвеевское;2714;2165;1900;677;38;1185;38;675;9;704;0;0;0;0;3;0;0;0;район Очаково-Матвеевское;2714
район Очаково-Матвеевское;2715;2214;2000;642;31;1327;31;642;9;664;0;0;2;0;3;0;0;0;район Очаково-Матвеевское;2715
район Очаково-Матвеевское;2716;2077;1900;650;24;1226;24;649;11;662;0;0;1;0;2;0;0;0;район Очаково-Матвеевское;2716
район Очаково-Матвеевское;2717;2273;2000;635;41;1324;41;632;12;661;0;0;1;0;4;0;0;0;район Очаково-Матвеевское;2717
район Очаково-Матвеевское;2718;2406;2150;443;5;1702;5;443;8;440;0;0;4;0;3;0;0;0;район Очаково-Матвеевское;2718
район Очаково-Матвеевское;2719;1944;1700;469;25;1206;25;467;8;484;0;0;3;0;4;0;0;0;район Очаково-Матвеевское;2719
район Очаково-Матвеевское;2720;2038;1650;636;7;1007;7;636;13;630;0;0;1;0;2;0;0;0;район Очаково-Матвеевское;2720
район Очаково-Матвеевское;2721;2117;1900;482;38;1380;38;482;11;509;0;0;0;0;2;0;0;0;район Очаково-Матвеевское;2721
район Очаково-Матвеевское;2722;341;250;175;0;75;0;175;0;175;0;0;0;0;1;0;0;0;район Очаково-Матвеевское;2722
район Очаково-Матвеевское;2723;88;80;30;0;50;0;30;0;30;0;0;1;0;0;0;0;0;район Очаково-Матвеевское;2723
район Очаково-Матвеевское;2724;2321;2000;586;8;1406;8;584;11;581;0;0;0;0;1;0;0;0;район Очаково-Матвеевское;2724
район Очаково-Матвеевское;2725;2249;2000;620;27;1353;27;619;13;633;0;0;2;0;1;0;0;0;район Очаково-Матвеевское;2725
район Очаково-Матвеевское;2726;2163;1950;604;17;1329;17;604;9;612;0;0;0;0;2;0;0;0;район Очаково-Матвеевское;2726
район Очаково-Матвеевское;2727;2517;2300;649;28;1623;28;648;12;664;0;0;0;0;6;0;0;0;район Очаково-Матвеевское;2727
район Очаково-Матвеевское;2728;2555;2300;695;9;1596;9;695;10;694;0;0;0;0;5;0;0;0;район Очаково-Матвеевское;2728
район Очаково-Матвеевское;2729;2062;1850;462;29;1359;29;461;13;477;0;0;0;0;0;0;0;0;район Очаково-Матвеевское;2729
район Очаково-Матвеевское;2730;2572;2300;660;38;1602;38;660;11;687;0;0;0;0;2;0;0;0;район Очаково-Матвеевское;2730
район Очаково-Матвеевское;2731;2314;2100;684;18;1398;18;682;7;693;0;0;0;0;3;0;0;0;район Очаково-Матвеевское;2731
район Очаково-Матвеевское;2732;2373;2100;711;24;1365;24;711;12;723;0;0;2;0;1;0;0;0;район Очаково-Матвеевское;2732
район Очаково-Матвеевское;2733;2476;2200;806;8;1386;8;806;11;803;0;0;3;0;0;0;0;0;район Очаково-Матвеевское;2733
район Очаково-Матвеевское;3760;85;200;85;0;115;0;85;1;84;0;0;4;0;0;0;0;0;район Очаково-Матвеевское;3760
район Очаково-Матвеевское;3761;243;200;50;78;72;78;50;0;128;0;0;0;0;0;0;0;0;район Очаково-Матвеевское;3761
район Проспект Вернадского;2734;1515;1300;491;20;789;20;490;7;503;0;0;0;0;2;0;0;0;район Проспект Вернадского;2734
район Проспект Вернадского;2735;2001;1600;656;12;932;12;646;7;651;0;0;0;0;4;0;0;0;район Проспект Вернадского;2735
район Проспект Вернадского;2736;1444;1300;418;23;859;23;418;11;430;0;0;1;0;3;0;0;0;район Проспект Вернадского;2736
район Проспект Вернадского;2737;2012;1500;592;34;874;34;591;10;615;0;0;5;0;3;0;0;0;район Проспект Вернадского;2737
район Проспект Вернадского;2738;1616;1300;467;28;805;28;467;6;489;0;0;4;0;2;0;0;0;район Проспект Вернадского;2738
район Проспект Вернадского;2739;1783;1500;547;27;926;27;546;8;565;0;0;0;0;3;0;0;0;район Проспект Вернадского;2739
район Проспект Вернадского;2740;2083;1500;520;46;934;46;520;8;558;0;0;0;0;1;0;0;0;район Проспект Вернадского;2740
район Проспект Вернадского;2741;1786;1400;567;33;800;33;567;8;592;0;0;5;0;2;0;0;0;район Проспект Вернадского;2741
район Проспект Вернадского;2742;1798;1400;674;38;688;38;673;3;708;0;0;2;0;0;0;0;0;район Проспект Вернадского;2742
район Проспект Вернадского;2743;1799;1500;531;30;939;30;530;11;549;0;0;0;0;0;0;0;0;район Проспект Вернадского;2743
район Проспект Вернадского;2744;2259;1800;648;46;1106;46;648;9;685;0;0;0;0;0;0;0;0;район Проспект Вернадского;2744
район Проспект Вернадского;2745;2641;2100;922;46;1132;46;921;11;956;0;0;0;0;2;0;0;0;район Проспект Вернадского;2745
район Проспект Вернадского;2746;2094;1600;657;36;907;36;621;18;639;0;0;0;0;3;0;0;0;район Проспект Вернадского;2746
район Проспект Вернадского;2747;2099;1600;609;20;971;20;609;8;621;0;0;0;0;0;0;0;0;район Проспект Вернадского;2747
район Проспект Вернадского;2748;1577;1200;510;30;660;30;510;6;534;0;0;2;0;1;0;0;0;район Проспект Вернадского;2748
район Проспект Вернадского;2749;1396;1200;407;30;763;30;407;9;428;0;0;0;0;1;0;0;0;район Проспект Вернадского;2749
район Проспект Вернадского;2750;2112;1800;660;28;1112;28;659;15;672;0;0;2;0;2;0;0;0;район Проспект Вернадского;2750
район Проспект Вернадского;2751;2188;1800;740;31;1029;31;740;11;760;0;0;1;0;1;0;0;0;район Проспект Вернадского;2751
район Проспект Вернадского;2752;2365;1800;821;6;973;6;821;11;816;0;0;0;0;0;0;0;0;район Проспект Вернадского;2752
район Проспект Вернадского;3762;431;1000;419;0;581;0;403;5;398;0;0;0;0;0;0;0;0;район Проспект Вернадского;3762
район Раменки;2753;1904;1800;558;21;1221;21;558;7;572;0;0;6;0;0;0;0;0;район Раменки;2753
район Раменки;2754;1315;1200;435;14;751;14;435;6;443;0;0;0;0;0;0;0;0;район Раменки;2754
район Раменки;2755;2420;2200;768;29;1403;29;767;11;785;0;0;1;0;1;0;0;0;район Раменки;2755
район Раменки;2756;1341;1200;333;17;850;17;333;2;348;0;0;1;0;1;0;0;0;район Раменки;2756
район Раменки;2757;2310;2200;779;43;1378;43;777;7;813;0;0;0;0;2;0;0;0;район Раменки;2757
район Раменки;2758;2403;2300;644;46;1610;46;644;24;666;0;0;1;0;2;0;0;0;район Раменки;2758
район Раменки;2759;2659;2500;866;32;1602;32;866;15;883;0;0;1;0;2;0;0;0;район Раменки;2759
район Раменки;2760;1168;1000;297;2;701;2;297;2;297;0;0;1;0;0;0;0;0;район Раменки;2760
район Раменки;2761;1966;1800;660;30;1110;30;660;4;686;0;0;2;0;4;0;0;0;район Раменки;2761
район Раменки;2762;2449;2300;856;26;1418;26;853;7;872;0;0;0;0;2;0;0;0;район Раменки;2762
район Раменки;2763;2739;2500;771;24;1705;24;771;9;786;0;0;2;0;1;0;0;0;район Раменки;2763
район Раменки;2764;2355;2200;753;24;1423;24;751;10;765;0;0;0;0;1;0;0;0;район Раменки;2764
район Раменки;2765;454;500;194;18;288;18;194;3;209;0;0;0;0;1;0;0;0;район Раменки;2765
район Раменки;2766;456;800;137;0;663;0;137;0;137;0;0;1;0;0;0;0;0;район Раменки;2766
район Раменки;2767;2236;2000;722;0;1278;0;722;6;716;0;0;1;0;0;0;0;0;район Раменки;2767
район Раменки;2768;1544;1500;521;7;972;7;521;9;519;0;0;0;0;3;0;0;0;район Раменки;2768
район Раменки;2769;2236;2000;655;14;1331;14;655;8;661;0;0;3;0;2;0;0;0;район Раменки;2769
район Раменки;2770;2429;2300;751;20;1529;20;751;11;760;0;0;6;0;3;0;0;0;район Раменки;2770
район Раменки;2771;2464;2300;810;11;1479;11;809;6;814;0;0;3;0;8;0;0;0;район Раменки;2771
район Раменки;2772;2649;2500;748;2;1750;2;748;10;740;0;0;4;0;0;0;0;0;район Раменки;2772
район Раменки;2773;2003;1900;585;13;1302;13;585;4;594;0;0;0;0;2;0;0;0;район Раменки;2773
район Раменки;2774;2360;2200;762;17;1421;17;762;6;773;0;0;3;0;5;0;0;0;район Раменки;2774
район Раменки;2775;2026;1900;562;27;1311;27;562;7;582;0;0;3;0;1;0;0;0;район Раменки;2775
район Раменки;2776;1766;1600;550;18;1032;18;550;7;561;0;0;0;0;2;0;0;0;район Раменки;2776
район Раменки;2777;2798;2700;866;30;1804;30;866;7;889;0;0;2;0;4;0;0;0;район Раменки;2777
район Раменки;2778;2266;2200;731;28;1441;28;731;14;745;0;0;1;0;1;0;0;0;район Раменки;2778
район Раменки;2779;2793;2600;979;11;1610;11;978;6;983;0;0;0;0;1;0;0;0;район Раменки;2779
район Раменки;2780;2580;2300;782;16;1502;16;782;12;786;0;0;1;0;0;0;0;0;район Раменки;2780
район Раменки;2781;2095;2000;696;18;1286;18;696;5;709;0;0;2;0;0;0;0;0;район Раменки;2781
район Раменки;2782;2147;2000;687;10;1303;10;684;5;689;0;0;3;0;3;0;0;0;район Раменки;2782
район Раменки;2783;2072;1900;788;27;1085;27;786;12;801;0;0;1;0;1;0;0;0;район Раменки;2783
район Раменки;2784;1978;1800;621;34;1145;34;621;8;647;0;0;1;0;4;0;0;0;район Раменки;2784
район Раменки;2785;2408;2200;764;25;1411;25;762;14;773;0;0;0;0;2;0;0;0;район Раменки;2785
район Раменки;2786;1879;1700;629;20;1051;20;629;13;636;0;0;3;0;2;0;0;0;район Раменки;2786
район Раменки;2787;746;700;232;2;466;2;232;1;233;0;0;1;0;0;0;0;0;район Раменки;2787
район Раменки;2788;1895;1800;566;28;1206;28;563;5;586;0;0;0;0;2;0;0;0;район Раменки;2788
район Раменки;2789;475;500;187;6;307;6;187;1;192;0;0;0;0;1;0;0;0;район Раменки;2789
район Раменки;2790;1544;1400;359;37;1004;37;359;5;391;0;0;1;0;1;0;0;0;район Раменки;2790
район Раменки;3763;30;200;30;0;170;0;30;0;30;0;0;0;0;0;0;0;0;район Раменки;3763
район Раменки;3764;25;100;25;0;75;0;25;0;25;0;0;0;0;0;0;0;0;район Раменки;3764
район Солнцево;2791;2175;1700;384;51;1265;51;384;1;434;0;0;2;0;0;0;0;0;район Солнцево;2791
район Солнцево;2792;2644;2200;677;68;1455;68;677;19;726;0;0;3;0;3;0;0;0;район Солнцево;2792
район Солнцево;2793;2570;2100;739;54;1307;54;739;6;787;0;0;5;0;2;0;0;0;район Солнцево;2793
район Солнцево;2794;2724;2300;651;49;1600;49;651;13;687;0;0;8;0;1;0;0;0;район Солнцево;2794
район Солнцево;2795;2540;2100;641;70;1389;68;640;12;696;0;0;2;0;3;0;0;0;район Солнцево;2795
район Солнцево;2796;2669;2200;747;50;1403;50;736;13;773;0;0;11;0;5;0;0;0;район Солнцево;2796
район Солнцево;2797;2347;2000;469;31;1500;31;469;10;490;0;0;0;0;4;0;0;0;район Солнцево;2797
район Солнцево;2798;2365;2000;624;39;1337;39;624;6;657;0;0;0;0;0;0;0;0;район Солнцево;2798
район Солнцево;2799;2793;2300;701;56;1543;56;701;13;744;0;0;3;0;3;0;0;0;район Солнцево;2799
район Солнцево;2800;2125;1700;578;44;1078;44;578;6;616;0;0;2;0;2;0;0;0;район Солнцево;2800
район Солнцево;2801;2455;2000;630;55;1315;55;629;13;671;0;0;0;0;4;0;0;0;район Солнцево;2801
район Солнцево;2802;2694;2200;701;37;1462;37;701;10;728;0;0;0;0;2;0;0;0;район Солнцево;2802
район Солнцево;2803;1176;700;311;47;342;47;311;8;350;0;0;1;0;2;0;0;0;район Солнцево;2803
район Солнцево;2804;1421;1000;407;33;560;33;406;11;428;0;0;0;0;2;0;0;0;район Солнцево;2804
район Солнцево;2805;2469;2000;754;37;1209;37;753;15;775;0;0;9;0;4;0;0;0;район Солнцево;2805
район Солнцево;2806;2644;2200;802;50;1348;50;802;21;831;0;0;0;0;1;0;0;0;район Солнцево;2806
район Солнцево;2807;2474;2000;644;42;1314;42;644;16;670;0;0;0;0;4;0;0;0;район Солнцево;2807
район Солнцево;2808;2567;2100;671;29;1400;29;671;20;680;0;0;4;0;0;0;0;0;район Солнцево;2808
район Солнцево;2809;2694;2200;741;19;1440;19;741;10;750;0;0;1;0;3;0;0;0;район Солнцево;2809
район Солнцево;2810;2459;2000;716;23;1261;23;713;18;718;0;0;0;0;3;0;0;0;район Солнцево;2810
район Солнцево;2811;2335;2000;639;32;1329;32;639;19;652;0;0;1;0;1;0;0;0;район Солнцево;2811
район Солнцево;2812;2385;2000;651;31;1318;31;650;16;665;0;0;0;0;5;0;0;0;район Солнцево;2812
район Солнцево;2813;2397;2000;742;44;1214;44;741;23;762;0;0;1;0;1;0;0;0;район Солнцево;2813
район Солнцево;2814;2647;2200;774;35;1391;35;772;16;791;0;0;0;0;3;0;0;0;район Солнцево;2814
район Солнцево;2815;2087;1600;651;27;922;27;651;8;670;0;0;2;0;0;0;0;0;район Солнцево;2815
район Солнцево;2816;2353;2000;621;32;1347;32;621;10;643;0;0;1;0;1;0;0;0;район Солнцево;2816
район Солнцево;2817;2422;2000;617;75;1308;75;616;24;667;0;0;0;0;1;0;0;0;район Солнцево;2817
район Солнцево;2818;2354;2000;625;71;1304;71;625;15;681;0;0;1;0;5;0;0;0;район Солнцево;2818
район Солнцево;3765;169;500;142;27;331;27;142;5;164;0;0;0;0;0;0;0;0;район Солнцево;3765
район Тропарево-Никулино;2819;2326;2100;680;7;1413;7;680;16;671;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2819
район Тропарево-Никулино;2820;1933;1800;585;3;1212;3;583;4;582;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2820
район Тропарево-Никулино;2821;2211;2100;725;3;1372;3;723;6;720;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2821
район Тропарево-Никулино;2822;2061;2010;710;7;1293;7;710;6;711;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2822
район Тропарево-Никулино;2823;2020;2050;862;24;1164;24;862;11;875;0;0;0;0;1;0;0;0;район Тропарево-Никулино;2823
район Тропарево-Никулино;2824;2619;2500;845;25;1630;25;845;8;862;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2824
район Тропарево-Никулино;2825;1668;1600;535;27;1038;27;534;8;553;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2825
район Тропарево-Никулино;2826;1971;1900;644;12;1244;12;644;9;647;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2826
район Тропарево-Никулино;2827;2371;2150;702;8;1440;8;702;12;698;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2827
район Тропарево-Никулино;2828;2004;1900;688;1;1211;1;688;5;684;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2828
район Тропарево-Никулино;2829;1843;1800;633;1;1166;1;633;5;629;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2829
район Тропарево-Никулино;2830;1654;1500;483;5;1012;5;483;3;485;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2830
район Тропарево-Никулино;2831;2498;2450;761;16;1673;16;761;10;767;0;0;0;0;1;0;0;0;район Тропарево-Никулино;2831
район Тропарево-Никулино;2832;2244;2000;858;25;1117;25;857;12;870;0;0;1;0;0;0;0;0;район Тропарево-Никулино;2832
район Тропарево-Никулино;2833;1825;1700;675;16;1009;16;675;18;673;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2833
район Тропарево-Никулино;2834;1752;1300;646;20;634;20;646;9;657;1;1;0;0;0;0;0;0;район Тропарево-Никулино;2834
район Тропарево-Никулино;2835;2302;2000;882;35;1083;35;879;7;907;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2835
район Тропарево-Никулино;2836;2112;2000;746;42;1212;42;746;5;783;0;0;0;0;1;0;0;0;район Тропарево-Никулино;2836
район Тропарево-Никулино;2837;2459;2350;880;16;1454;16;879;4;891;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2837
район Тропарево-Никулино;2838;1537;1500;621;19;860;19;619;7;631;0;0;0;0;1;0;0;0;район Тропарево-Никулино;2838
район Тропарево-Никулино;2839;2505;2400;990;19;1391;19;990;11;998;1;1;0;0;1;0;0;0;район Тропарево-Никулино;2839
район Тропарево-Никулино;2840;2288;2100;955;34;1111;34;945;14;965;0;0;0;0;1;0;0;0;район Тропарево-Никулино;2840
район Тропарево-Никулино;2841;1748;1700;666;25;1010;25;663;12;676;0;0;0;0;0;0;0;1;район Тропарево-Никулино;2841
район Тропарево-Никулино;2842;1663;1600;629;17;954;17;627;10;634;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2842
район Тропарево-Никулино;2843;1744;1600;651;20;929;20;648;16;652;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2843
район Тропарево-Никулино;2844;2338;2300;705;2;1593;2;705;8;699;0;0;9;0;0;0;0;0;район Тропарево-Никулино;2844
район Тропарево-Никулино;2845;1811;1750;634;4;1112;4;634;9;629;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2845
район Тропарево-Никулино;2846;2472;2400;820;10;1570;10;819;7;822;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2846
район Тропарево-Никулино;2847;1867;1800;495;6;1299;6;495;2;499;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2847
район Тропарево-Никулино;2848;2160;1800;692;11;1097;11;691;9;693;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2848
район Тропарево-Никулино;2849;2223;2000;823;21;1156;21;820;8;833;0;0;1;0;0;0;0;0;район Тропарево-Никулино;2849
район Тропарево-Никулино;2850;2583;2500;876;10;1614;10;876;15;871;0;0;0;0;0;0;0;0;район Тропарево-Никулино;2850
район Тропарево-Никулино;2851;2649;2300;733;14;1553;14;732;13;733;0;0;0;0;1;0;0;0;район Тропарево-Никулино;2851
район Филевский парк;2852;2220;1500;566;38;896;38;565;10;593;0;0;4;0;2;0;0;0;район Филевский парк;2852
район Филевский парк;2853;2436;1600;668;32;850;32;659;7;684;0;0;3;0;1;0;50;0;район Филевский парк;2853
район Филевский парк;2854;2272;1500;587;31;886;31;587;13;605;0;0;0;0;0;0;0;4;район Филевский парк;2854
район Филевский парк;2855;1584;1100;377;27;696;27;376;6;397;0;0;0;0;2;0;0;0;район Филевский парк;2855
район Филевский парк;2856;1228;1000;379;9;612;9;379;5;383;0;0;0;0;0;0;0;0;район Филевский парк;2856
район Филевский парк;2857;2392;1600;787;21;797;21;787;8;800;0;0;0;0;2;0;0;5;район Филевский парк;2857
район Филевский парк;2858;2217;1500;647;30;823;30;647;4;673;0;0;0;0;1;0;0;0;район Филевский парк;2858
район Филевский парк;2859;1332;1000;473;23;504;23;472;4;491;0;0;0;0;0;0;0;0;район Филевский парк;2859
район Филевский парк;2860;2191;1500;537;34;929;34;537;8;563;0;0;3;0;1;0;0;0;район Филевский парк;2860
район Филевский парк;2861;2116;1400;655;43;712;42;653;9;686;0;0;3;0;1;0;0;10;район Филевский парк;2861
район Филевский парк;2862;2696;1800;802;23;975;23;801;7;817;0;0;0;0;2;0;0;0;район Филевский парк;2862
район Филевский парк;2863;1580;1100;511;18;571;18;511;4;525;0;0;1;0;5;0;0;0;район Филевский парк;2863
район Филевский парк;2864;2231;1500;693;43;764;43;693;10;726;0;0;0;0;7;0;0;0;район Филевский парк;2864
район Филевский парк;2865;1098;1000;325;11;664;11;325;2;334;0;0;0;0;0;0;0;0;район Филевский парк;2865
район Филевский парк;2866;2495;1600;671;19;910;19;671;8;682;0;0;4;0;2;0;0;0;район Филевский парк;2866
район Филевский парк;2867;1996;1300;513;30;757;30;513;13;530;0;0;1;0;4;0;0;0;район Филевский парк;2867
район Филевский парк;2868;1994;1300;567;63;670;63;567;11;619;0;0;1;0;2;0;0;0;район Филевский парк;2868
район Филевский парк;2869;1058;1000;319;11;670;11;319;6;324;0;0;3;0;1;0;0;0;район Филевский парк;2869
район Филевский парк;2870;140;120;21;3;96;3;21;0;24;0;0;0;0;0;0;0;0;район Филевский парк;2870
район Филевский парк;2871;2597;1700;717;10;989;10;716;6;720;0;0;1;0;2;0;0;16;район Филевский парк;2871
район Филевский парк;2872;1792;1200;574;19;607;19;574;12;581;0;0;0;0;3;0;0;0;район Филевский парк;2872
район Филевский парк;2873;2187;1500;593;26;881;26;593;3;616;0;0;0;0;1;0;0;0;район Филевский парк;2873
район Филевский парк;2874;2369;1600;756;22;822;22;756;5;773;0;0;3;0;0;0;0;0;район Филевский парк;2874
район Филевский парк;2875;2587;1700;805;25;870;25;804;11;818;0;0;3;0;6;0;0;0;район Филевский парк;2875
район Филевский парк;3766;159;500;94;1;405;1;94;1;94;0;0;0;0;0;0;0;0;район Филевский парк;3766
район Фили-Давыдково;2876;2338;2000;1025;58;917;58;1025;12;1071;0;0;6;0;0;0;0;0;район Фили-Давыдково;2876
район Фили-Давыдково;2877;168;230;120;48;62;48;120;4;164;0;0;0;0;0;0;0;0;район Фили-Давыдково;2877
район Фили-Давыдково;2878;2098;1900;608;32;1260;32;608;9;631;0;0;3;0;0;0;0;0;район Фили-Давыдково;2878
район Фили-Давыдково;2879;1955;1800;554;33;1213;33;553;8;578;0;0;2;0;0;0;0;0;район Фили-Давыдково;2879
район Фили-Давыдково;2880;1982;1800;630;27;1143;27;630;6;651;0;0;2;0;1;0;0;0;район Фили-Давыдково;2880
район Фили-Давыдково;2881;2071;1900;625;26;1249;26;624;14;636;0;0;1;0;0;0;0;0;район Фили-Давыдково;2881
район Фили-Давыдково;2882;2534;2300;696;33;1571;33;696;16;713;0;0;0;0;0;0;0;0;район Фили-Давыдково;2882
район Фили-Давыдково;2883;2590;2300;749;46;1505;46;749;9;786;0;0;1;0;2;0;0;0;район Фили-Давыдково;2883
район Фили-Давыдково;2884;2711;2400;769;34;1597;34;768;18;784;0;0;0;0;0;0;0;0;район Фили-Давыдково;2884
район Фили-Давыдково;2885;2586;2300;794;37;1469;37;794;12;819;0;0;0;0;0;0;0;0;район Фили-Давыдково;2885
район Фили-Давыдково;2886;2213;2000;698;32;1270;32;697;9;720;0;0;1;0;1;0;0;0;район Фили-Давыдково;2886
район Фили-Давыдково;2887;2613;2400;814;20;1566;20;814;7;827;0;0;1;0;0;0;0;0;район Фили-Давыдково;2887
район Фили-Давыдково;2888;556;500;225;4;271;4;225;2;227;0;0;1;0;0;0;0;0;район Фили-Давыдково;2888
район Фили-Давыдково;2889;2578;2300;779;23;1498;23;779;12;790;0;0;0;0;1;0;0;0;район Фили-Давыдково;2889
район Фили-Давыдково;2890;2383;2200;688;53;1459;53;688;13;728;0;0;0;0;1;0;0;0;район Фили-Давыдково;2890
район Фили-Давыдково;2891;2036;1800;519;29;1252;29;519;6;542;0;0;1;0;0;0;0;0;район Фили-Давыдково;2891
район Фили-Давыдково;2892;2521;2300;742;34;1524;34;740;9;765;0;0;0;0;1;0;0;0;район Фили-Давыдково;2892
район Фили-Давыдково;2893;2694;2400;920;41;1439;40;917;10;947;0;0;0;0;2;0;0;0;район Фили-Давыдково;2893
район Фили-Давыдково;2894;952;900;334;14;552;14;334;5;343;0;0;5;0;0;0;0;0;район Фили-Давыдково;2894
район Фили-Давыдково;2895;2595;2300;863;30;1407;30;863;18;875;0;0;1;0;1;0;0;0;район Фили-Давыдково;2895
район Фили-Давыдково;2896;2251;2000;696;26;1278;26;696;9;713;0;0;0;0;0;0;0;0;район Фили-Давыдково;2896
район Фили-Давыдково;2897;2361;2200;665;24;1511;24;664;11;677;0;0;2;0;0;0;0;0;район Фили-Давыдково;2897
район Фили-Давыдково;2898;2648;2400;720;30;1650;30;708;8;730;0;0;0;0;0;0;0;0;район Фили-Давыдково;2898
район Фили-Давыдково;2899;2478;2200;755;30;1415;30;754;16;768;0;0;1;0;0;0;0;0;район Фили-Давыдково;2899
район Фили-Давыдково;2900;2674;2400;749;64;1587;64;748;13;799;0;0;1;0;1;0;0;0;район Фили-Давыдково;2900
район Фили-Давыдково;2901;2419;2200;698;37;1465;37;695;8;724;0;0;0;0;0;0;0;0;район Фили-Давыдково;2901
район Фили-Давыдково;2902;2664;2400;791;53;1556;53;790;13;830;0;0;1;0;3;0;0;0;район Фили-Давыдково;2902
район Фили-Давыдково;2903;2877;2600;773;22;1805;22;770;15;777;0;0;0;0;3;0;0;0;район Фили-Давыдково;2903
