ТИК;УИК;Число избирателей, внесенных в список;Число бюллетеней, полученных УИК;Число бюллетеней, выданных в помещении для голосования;Число бюллетеней, выданных вне помещения для голосования;Число погашенных бюллетеней;Число бюллетеней, содержащихся в переносных ящиках;Число бюллетеней, содержащихся в стационарных ящиках;Число недействительных бюллетеней;Число действительных бюллетеней;Число открепительных удостоверений, полученных УИК;Число открепительных удостоверений, выданных УИК до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных ТИК избирателям;Число утраченных открепительных удостоверений;Число утраченных бюллетеней;Число бюллетеней, не учтенных при получении;ТИК;УИК
район Восточное Измайлово ;938;2008;1400;649;52;699;52;647;6;693;0;0;0;0;4;0;0;0;район Восточное Измайлово ;938
район Восточное Измайлово ;939;1997;1300;612;29;659;29;612;16;625;0;0;0;0;3;0;0;0;район Восточное Измайлово ;939
район Восточное Измайлово ;3669;248;300;242;0;58;0;242;7;235;0;0;0;0;0;0;0;0;район Восточное Измайлово ;3669
район Восточное Измайлово ;3670;19;50;19;0;31;0;19;0;19;0;0;1;0;0;0;0;0;район Восточное Измайлово ;3670
район Гольяново ;944;2537;2000;787;28;1185;28;786;27;787;0;0;2;0;2;0;0;0;район Гольяново ;944
район Гольяново ;945;2304;2000;475;20;1505;20;474;9;485;0;0;0;0;0;0;0;0;район Гольяново ;945
район Гольяново ;946;274;200;73;1;126;1;73;1;73;0;0;0;0;1;0;0;0;район Гольяново ;946
район Гольяново ;947;2508;2000;692;49;1259;49;692;13;728;0;0;0;0;3;0;0;0;район Гольяново ;947
район Гольяново ;948;2371;2000;594;39;1367;39;594;10;623;0;0;1;0;0;0;0;0;район Гольяново ;948
район Гольяново ;949;1549;1400;386;23;991;23;386;9;400;0;0;2;0;1;0;0;0;район Гольяново ;949
район Гольяново ;950;2302;2000;615;37;1348;37;614;12;639;0;0;1;0;2;0;0;0;район Гольяново ;950
район Гольяново ;951;2324;2000;672;38;1290;38;672;15;695;0;0;0;0;1;0;0;0;район Гольяново ;951
район Гольяново ;952;2489;2000;629;40;1331;40;629;11;658;0;0;0;0;2;0;0;0;район Гольяново ;952
район Гольяново ;953;1975;1400;642;65;693;65;642;6;701;0;0;1;0;1;0;0;0;район Гольяново ;953
район Гольяново ;954;2603;2000;765;43;1192;43;765;32;776;0;0;1;0;1;0;0;0;район Гольяново ;954
район Гольяново ;955;2636;2000;798;38;1164;38;796;12;822;0;0;4;0;1;0;0;0;район Гольяново ;955
район Гольяново ;956;2272;2000;675;51;1274;51;674;3;722;0;0;1;0;1;0;0;0;район Гольяново ;956
район Гольяново ;957;2042;2000;689;31;1280;31;681;17;695;0;0;3;0;3;0;0;0;район Гольяново ;957
район Гольяново ;958;2249;2000;727;30;1243;30;726;15;741;0;0;0;0;0;0;0;0;район Гольяново ;958
район Гольяново ;959;2178;2000;650;57;1293;57;650;18;689;0;0;1;0;0;0;0;0;район Гольяново ;959
район Гольяново ;960;2258;2000;706;51;1243;51;706;14;743;0;0;2;0;2;0;0;0;район Гольяново ;960
район Гольяново ;961;1990;2000;555;34;1411;34;554;13;575;0;0;0;0;2;0;0;0;район Гольяново ;961
район Гольяново ;962;2526;2000;853;29;1117;29;853;21;861;0;0;1;0;1;0;1;0;район Гольяново ;962
район Гольяново ;963;2187;2000;559;21;1420;21;559;9;571;0;0;0;0;5;0;0;0;район Гольяново ;963
район Гольяново ;964;2410;2000;679;43;1278;43;679;16;706;0;0;1;0;5;0;0;0;район Гольяново ;964
район Гольяново ;965;2301;2000;719;26;1257;26;719;7;738;0;0;1;0;1;0;0;2;район Гольяново ;965
район Гольяново ;966;2382;2000;643;33;1324;33;641;12;662;0;0;3;0;7;0;0;0;район Гольяново ;966
район Гольяново ;967;2501;2000;765;37;1198;37;764;13;788;0;0;2;0;3;0;0;0;район Гольяново ;967
район Гольяново ;968;2375;2000;768;27;1205;27;768;8;787;0;0;0;0;1;0;0;0;район Гольяново ;968
район Гольяново ;969;2531;2000;616;39;1345;39;616;10;645;0;0;3;0;4;0;0;0;район Гольяново ;969
