ТИК;УИК;Дегтярев Михаил Владимирович;Левичев Николай Владимирович;Мельников Иван Иванович;Митрохин Сергей Сергеевич;Навальный Алексей Анатольевич;Собянин Сергей Семенович;ТИК;УИК
район Ивановское ;995;3,11;2,86;11,06;2,48;21,74;56,89;район Ивановское ;995
район Ивановское ;996;3,07;3,28;6,78;3,07;18,11;64,30;район Ивановское ;996
район Ивановское ;997;3,22;3,07;13,62;3,51;22,11;51,98;район Ивановское ;997
район Ивановское ;998;4,42;1,62;13,90;3,66;22,63;51,83;район Ивановское ;998
район Ивановское ;999;2,97;3,82;12,75;2,97;21,10;54,53;район Ивановское ;999
район Ивановское ;1000;2,28;3,61;11,65;3,88;23,83;52,61;район Ивановское ;1000
район Ивановское ;1001;3,27;1,77;11,85;2,45;21,80;57,08;район Ивановское ;1001
район Ивановское ;1002;5,47;1,70;10,75;3,96;21,89;54,72;район Ивановское ;1002
район Ивановское ;1003;4,17;3,00;10,67;2,67;19,17;58,67;район Ивановское ;1003
район Ивановское ;1004;4,43;1,11;7,76;3,46;20,78;59,97;район Ивановское ;1004
район Ивановское ;1005;2,97;4,38;9,86;4,23;25,67;52,11;район Ивановское ;1005
район Ивановское ;1006;3,15;2,99;12,44;2,83;21,57;55,12;район Ивановское ;1006
район Ивановское ;1007;4,60;2,30;10,20;3,59;25,00;51,58;район Ивановское ;1007
район Ивановское ;1008;3,10;3,25;10,68;4,33;21,83;54,95;район Ивановское ;1008
район Ивановское ;1009;4,29;3,05;11,50;4,85;20,50;53,60;район Ивановское ;1009
район Ивановское ;1010;2,68;2,37;11,67;4,10;21,61;55,21;район Ивановское ;1010
район Ивановское ;1011;3,72;3,19;12,77;3,19;22,52;52,30;район Ивановское ;1011
район Ивановское ;1012;3,61;3,07;10,96;4,41;23,13;54,28;район Ивановское ;1012
район Ивановское ;1013;11,08;3,29;5,99;5,69;23,35;49,40;район Ивановское ;1013
район Ивановское ;1014;4,01;3,32;10,65;2,77;26,83;50,76;район Ивановское ;1014
район Ивановское ;1015;5,25;3,86;9,57;3,24;27,16;48,61;район Ивановское ;1015
район Ивановское ;1016;3,21;3,68;11,64;2,97;28,62;48,57;район Ивановское ;1016
район Ивановское ;1017;2,86;2,86;10,79;3,30;28,63;50,22;район Ивановское ;1017
район Ивановское ;1018;3,16;1,71;10,53;3,82;23,68;54,61;район Ивановское ;1018
район Ивановское ;1019;2,79;2,43;10,19;4,61;26,70;52,31;район Ивановское ;1019
район Ивановское ;1020;3,60;4,27;8,41;2,54;21,36;58,61;район Ивановское ;1020
район Ивановское ;1021;3,59;4,49;13,92;2,25;20,51;52,99;район Ивановское ;1021
район Ивановское ;1022;2,26;3,39;13,54;3,39;23,84;52,19;район Ивановское ;1022
район Ивановское ;1023;2,31;2,89;11,56;3,18;26,01;52,46;район Ивановское ;1023
район Ивановское ;1024;4,09;3,23;11,17;1,99;24,19;53,23;район Ивановское ;1024
район Ивановское ;1025;2,35;2,77;12,45;3,46;24,48;52,56;район Ивановское ;1025
район Измайлово ;1026;2,82;1,21;11,29;3,63;30,24;50,40;район Измайлово ;1026
район Измайлово ;1027;2,84;5,46;10,04;2,62;23,58;53,93;район Измайлово ;1027
район Измайлово ;1028;3,47;3,67;9,39;4,69;29,39;47,76;район Измайлово ;1028
район Измайлово ;1029;2,85;1,52;8,37;3,99;26,43;53,99;район Измайлово ;1029
район Измайлово ;1030;3,15;4,47;10,60;2,98;25,66;50,83;район Измайлово ;1030
район Измайлово ;1031;2,82;2,82;10,46;3,42;32,39;47,08;район Измайлово ;1031
район Измайлово ;1032;2,40;3,71;11,79;4,37;27,95;48,69;район Измайлово ;1032
район Измайлово ;1033;3,31;4,58;13,99;4,83;25,95;46,56;район Измайлово ;1033
район Измайлово ;1034;2,45;3,52;11,03;5,21;26,34;49,92;район Измайлово ;1034
район Измайлово ;1035;2,94;3,55;7,11;5,10;33,54;45,90;район Измайлово ;1035
район Измайлово ;1036;2,08;3,77;13,21;5,09;27,74;46,23;район Измайлово ;1036
район Измайлово ;1037;1,70;3,40;11,70;8,30;31,28;43,40;район Измайлово ;1037
район Измайлово ;1038;2,95;3,88;9,30;5,58;37,05;41,09;район Измайлово ;1038
район Измайлово ;1039;3,03;3,54;12,52;3,41;22,12;53,86;район Измайлово ;1039
район Измайлово ;1040;3,78;1,81;13,44;4,98;28,25;46,22;район Измайлово ;1040
район Измайлово ;1041;3,36;4,23;10,36;4,38;30,36;46,57;район Измайлово ;1041
район Измайлово ;1042;3,31;4,13;10,12;5,99;30,99;44,01;район Измайлово ;1042
район Измайлово ;1043;3,03;2,07;12,90;4,78;29,62;46,66;район Измайлово ;1043
район Измайлово ;1044;1,74;2,54;10,46;3,80;33,12;46,12;район Измайлово ;1044
район Измайлово ;1045;0,46;2,78;7,41;4,63;33,80;49,54;район Измайлово ;1045
